competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
ChampionsLeague,2025-2026,2025-09-16,PSV,Union Saint-Gilloise,1,3,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-16,Athletic Club,Arsenal,0,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-16,Real Madrid,Marseille,2,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-16,Benfica,Qarabağ,2,3,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-16,Juventus,Borussia Dortmund,4,4,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-16,Tottenham,Villarreal,1,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-17,Olympiacos,Pafos,0,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-17,Slavia Praha,Bodø/Glimt,2,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-17,Paris Saint-Germain,Atalanta,4,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-17,Bayern Munich,Chelsea,3,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-17,Liverpool,Atlético de Madrid,3,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-17,Ajax,Inter,0,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-18,Club Brugge,Monaco,4,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-18,Copenhagen,Leverkusen,2,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-18,Manchester City,Napoli,2,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-18,Frankfurt,Galatasaray,5,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-18,Sporting CP,Kairat Almaty,4,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-18,Newcastle,Barcelona,1,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Atalanta,Club Brugge,2,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Kairat Almaty,Real Madrid,0,5,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Inter,Slavia Praha,3,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Chelsea,Benfica,1,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Atlético de Madrid,Frankfurt,5,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Bodø/Glimt,Tottenham,2,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Marseille,Ajax,4,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Galatasaray,Liverpool,1,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-09-30,Pafos,Bayern Munich,1,5,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Union Saint-Gilloise,Newcastle,0,4,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Qarabağ,Copenhagen,2,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Arsenal,Olympiacos,2,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Leverkusen,PSV,1,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Villarreal,Juventus,2,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Napoli,Sporting CP,2,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Monaco,Manchester City,2,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Borussia Dortmund,Athletic Club,4,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-01,Barcelona,Paris Saint-Germain,1,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,Barcelona,Olympiacos,6,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,Kairat Almaty,Pafos,0,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,Arsenal,Atlético de Madrid,4,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,Leverkusen,Paris Saint-Germain,2,7,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,Villarreal,Manchester City,0,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,PSV,Napoli,6,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,Copenhagen,Borussia Dortmund,2,4,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,Union Saint-Gilloise,Inter,0,4,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-21,Newcastle,Benfica,3,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Galatasaray,Bodø/Glimt,3,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Athletic Club,Qarabağ,3,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Chelsea,Ajax,5,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Atalanta,Slavia Praha,0,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Frankfurt,Liverpool,1,5,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Sporting CP,Marseille,2,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Monaco,Tottenham,0,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Real Madrid,Juventus,1,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-10-22,Bayern Munich,Club Brugge,4,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Napoli,Frankfurt,0,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Slavia Praha,Arsenal,0,3,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Paris Saint-Germain,Bayern Munich,1,2,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Liverpool,Real Madrid,1,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Atlético de Madrid,Union Saint-Gilloise,3,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Juventus,Sporting CP,1,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Tottenham,Copenhagen,4,0,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Olympiacos,PSV,1,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
ChampionsLeague,2025-2026,2025-11-04,Bodø/Glimt,Monaco,0,1,False,League,League Phase,FT90,False,,FixtureDownload JSON; 90-minute score
