competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
CSL,2026,2026-03-06,Chengdu Rongcheng,Shenzhen Peng City,5,1,False,League,Round 1,FT90,False,Chengdu Rongcheng,
CSL,2026,2026-03-07,Shandong Taishan,Liaoning Tieren,3,0,False,League,Round 1,FT90,False,Shandong Taishan,
CSL,2026,2026-03-07,Tianjin Jinmen Tiger,Chongqing Tongliang Long,0,0,False,League,Round 1,FT90,False,,
CSL,2026,2026-03-07,Shanghai Shenhua,Dalian Yingbo,5,3,False,League,Round 1,FT90,False,Shanghai Shenhua,
CSL,2026,2026-03-07,Shanghai Port,Henan,1,2,False,League,Round 1,FT90,False,Henan,
CSL,2026,2026-03-07,Yunnan Yukun,Qingdao Hainiu,3,1,False,League,Round 1,FT90,False,Yunnan Yukun,
CSL,2026,2026-03-08,Zhejiang Professional,Qingdao West Coast,2,0,False,League,Round 1,FT90,False,Zhejiang Professional,
CSL,2026,2026-03-08,Wuhan Three Towns,Beijing Guoan,0,2,False,League,Round 1,FT90,False,Beijing Guoan,
CSL,2026,2026-03-13,Wuhan Three Towns,Dalian Yingbo,4,1,False,League,Round 2,FT90,False,Wuhan Three Towns,
CSL,2026,2026-03-14,Shandong Taishan,Beijing Guoan,2,1,False,League,Round 2,FT90,False,Shandong Taishan,
CSL,2026,2026-03-14,Zhejiang Professional,Shanghai Shenhua,1,1,False,League,Round 2,FT90,False,,
CSL,2026,2026-03-14,Chongqing Tongliang Long,Liaoning Tieren,1,0,False,League,Round 2,FT90,False,Chongqing Tongliang Long,
CSL,2026,2026-03-14,Shenzhen Peng City,Tianjin Jinmen Tiger,1,0,False,League,Round 2,FT90,False,Shenzhen Peng City,
CSL,2026,2026-03-15,Henan,Yunnan Yukun,2,1,False,League,Round 2,FT90,False,Henan,
CSL,2026,2026-03-15,Shanghai Port,Qingdao West Coast,4,1,False,League,Round 2,FT90,False,Shanghai Port,
CSL,2026,2026-03-15,Chengdu Rongcheng,Qingdao Hainiu,1,0,False,League,Round 2,FT90,False,Chengdu Rongcheng,
CSL,2026,2026-03-20,Dalian Yingbo,Shanghai Port,1,0,False,League,Round 3,FT90,False,Dalian Yingbo,
CSL,2026,2026-03-20,Qingdao Hainiu,Zhejiang Professional,1,4,False,League,Round 3,FT90,False,Zhejiang Professional,
CSL,2026,2026-03-21,Beijing Guoan,Shanghai Shenhua,1,1,False,League,Round 3,FT90,False,,
CSL,2026,2026-03-21,Liaoning Tieren,Tianjin Jinmen Tiger,3,0,False,League,Round 3,FT90,False,Liaoning Tieren,
CSL,2026,2026-03-21,Henan,Wuhan Three Towns,1,1,False,League,Round 3,FT90,False,,
CSL,2026,2026-03-21,Chongqing Tongliang Long,Chengdu Rongcheng,3,3,False,League,Round 3,FT90,False,,
CSL,2026,2026-03-21,Qingdao West Coast,Shenzhen Peng City,1,0,False,League,Round 3,FT90,False,Qingdao West Coast,
CSL,2026,2026-03-21,Yunnan Yukun,Shandong Taishan,4,0,False,League,Round 3,FT90,False,Yunnan Yukun,
CSL,2026,2026-04-03,Chengdu Rongcheng,Qingdao West Coast,5,1,False,League,Round 4,FT90,False,Chengdu Rongcheng,
CSL,2026,2026-04-04,Liaoning Tieren,Beijing Guoan,2,1,False,League,Round 4,FT90,False,Liaoning Tieren,
CSL,2026,2026-04-04,Qingdao Hainiu,Henan,1,0,False,League,Round 4,FT90,False,Qingdao Hainiu,
CSL,2026,2026-04-04,Shandong Taishan,Dalian Yingbo,1,2,False,League,Round 4,FT90,False,Dalian Yingbo,
CSL,2026,2026-04-04,Shanghai Port,Yunnan Yukun,2,1,False,League,Round 4,FT90,False,Shanghai Port,
CSL,2026,2026-04-05,Zhejiang Professional,Chongqing Tongliang Long,0,1,False,League,Round 4,FT90,False,Chongqing Tongliang Long,
