competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WomenWorldCup,2023,2023-07-20,New Zealand,Norway,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-20,Australia,Republic of Ireland,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-21,Nigeria,Canada,0,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-21,Philippines,Switzerland,0,2,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-21,Spain,Costa Rica,3,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-22,United States,Vietnam,3,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-22,Zambia,Japan,0,5,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-22,England,Haiti,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-22,Denmark,China PR,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-23,Sweden,South Africa,2,1,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-23,Netherlands,Portugal,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-23,France,Jamaica,0,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-24,Italy,Argentina,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-24,Germany,Morocco,6,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-24,Brazil,Panama,4,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-25,Colombia,South Korea,2,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-25,New Zealand,Philippines,0,1,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-25,Switzerland,Norway,0,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-26,Japan,Costa Rica,2,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-26,Spain,Zambia,5,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-26,Canada,Republic of Ireland,2,1,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-27,United States,Netherlands,1,1,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-27,Portugal,Vietnam,2,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-27,Australia,Nigeria,2,3,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-28,Argentina,South Africa,2,2,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-28,England,Denmark,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-28,China PR,Haiti,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-29,Sweden,Italy,5,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-29,France,Brazil,2,1,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-29,Panama,Jamaica,0,1,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-30,South Korea,Morocco,0,1,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-30,Germany,Colombia,1,2,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-30,Switzerland,New Zealand,0,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-30,Norway,Philippines,6,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-31,Japan,Spain,4,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-31,Costa Rica,Zambia,1,3,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-31,Canada,Australia,0,4,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-07-31,Republic of Ireland,Nigeria,0,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-01,Portugal,United States,0,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-01,Vietnam,Netherlands,0,7,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-01,China PR,England,1,6,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-01,Haiti,Denmark,0,2,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-02,Argentina,Sweden,0,2,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-02,South Africa,Italy,3,2,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-02,Panama,France,3,6,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-02,Jamaica,Brazil,0,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-03,South Korea,Germany,1,1,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-03,Morocco,Colombia,1,0,true,Group,Group Stage,FT90,false,,
WomenWorldCup,2023,2023-08-05,Switzerland,Spain,1,5,true,Knockout,Round of 16,FT90,false,Spain,
WomenWorldCup,2023,2023-08-05,Japan,Norway,3,1,true,Knockout,Round of 16,FT90,false,Japan,
WomenWorldCup,2023,2023-08-06,Netherlands,South Africa,2,0,true,Knockout,Round of 16,FT90,false,Netherlands,
WomenWorldCup,2023,2023-08-06,Sweden,United States,0,0,true,Knockout,Round of 16,FT90,true,Sweden,Sweden advanced on penalties
WomenWorldCup,2023,2023-08-07,England,Nigeria,0,0,true,Knockout,Round of 16,FT90,true,England,England advanced on penalties
WomenWorldCup,2023,2023-08-07,Australia,Denmark,2,0,true,Knockout,Round of 16,FT90,false,Australia,
WomenWorldCup,2023,2023-08-08,Colombia,Jamaica,1,0,true,Knockout,Round of 16,FT90,false,Colombia,
WomenWorldCup,2023,2023-08-08,France,Morocco,4,0,true,Knockout,Round of 16,FT90,false,France,
WomenWorldCup,2023,2023-08-11,Spain,Netherlands,1,1,true,Knockout,Quarterfinals,FT90,false,Spain,Spain advanced after extra time
WomenWorldCup,2023,2023-08-11,Japan,Sweden,1,2,true,Knockout,Quarterfinals,FT90,false,Sweden,
WomenWorldCup,2023,2023-08-12,Australia,France,0,0,true,Knockout,Quarterfinals,FT90,true,Australia,Australia advanced on penalties
WomenWorldCup,2023,2023-08-12,England,Colombia,2,1,true,Knockout,Quarterfinals,FT90,false,England,
WomenWorldCup,2023,2023-08-15,Spain,Sweden,2,1,true,Knockout,Semifinals,FT90,false,Spain,
WomenWorldCup,2023,2023-08-16,Australia,England,1,3,true,Knockout,Semifinals,FT90,false,England,
WomenWorldCup,2023,2023-08-19,Sweden,Australia,2,0,true,Knockout,Third Place,FT90,false,Sweden,
WomenWorldCup,2023,2023-08-20,Spain,England,1,0,true,Knockout,Final,FT90,false,Spain,
