competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WomenWorldCupQualifiers,2027,2025-10-24,Argentina,Paraguay,3,1,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-10-24,Bolivia,Ecuador,0,4,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-10-24,Colombia,Peru,4,1,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-10-24,Venezuela,Chile,0,0,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-10-28,Chile,Bolivia,5,0,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-10-28,Ecuador,Colombia,1,2,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-10-28,Paraguay,Venezuela,1,2,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-10-28,Uruguay,Argentina,2,2,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-11-28,Bolivia,Colombia,1,1,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-11-28,Ecuador,Venezuela,0,0,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-11-28,Paraguay,Uruguay,1,0,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-11-28,Peru,Chile,3,1,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-11-28,Tahiti,Cook Islands,0,1,true,Qualification,OFC preliminary round,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2025-11-28,Tonga,American Samoa,0,3,true,Qualification,OFC preliminary round,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2025-12-01,American Samoa,Cook Islands,4,0,true,Qualification,OFC preliminary round,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2025-12-02,Argentina,Bolivia,8,0,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-12-02,Chile,Paraguay,1,0,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-12-02,Uruguay,Ecuador,0,0,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2025-12-02,Venezuela,Peru,6,0,false,Qualification,CONMEBOL Nations League,FT90,false,,FIFA CONMEBOL qualifying results to 2026-06-09
WomenWorldCupQualifiers,2027,2026-02-27,Fiji,New Caledonia,5,0,true,Qualification,OFC qualification round group stage,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2026-02-27,New Zealand,Samoa,8,0,true,Qualification,OFC qualification round group stage,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2026-02-27,Papua New Guinea,Vanuatu,5,0,true,Qualification,OFC qualification round group stage,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2026-02-27,Solomon Islands,American Samoa,0,1,true,Qualification,OFC qualification round group stage,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2026-03-01,Australia,Philippines,1,0,true,Qualification,AFC Women's Asian Cup group stage,FT90,false,,FIFA AFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2026-03-02,American Samoa,Samoa,1,0,true,Qualification,OFC qualification round group stage,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2026-03-02,New Caledonia,Vanuatu,2,1,true,Qualification,OFC qualification round group stage,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2026-03-02,New Zealand,Solomon Islands,8,0,true,Qualification,OFC qualification round group stage,FT90,false,,FIFA OFC qualifying results for Brazil 2027
WomenWorldCupQualifiers,2027,2026-03-02,South Korea,Iran,3,0,true,Qualification,AFC Women's Asian Cup group stage,FT90,false,,FIFA AFC qualifying results for Brazil 2027
