competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WorldCup,2022,2022-11-20,Qatar,Ecuador,0,2,True,Group,Group Stage,FT90,False,Ecuador,Group A
WorldCup,2022,2022-11-21,England,Iran,6,2,True,Group,Group Stage,FT90,False,England,Group B
WorldCup,2022,2022-11-21,Senegal,Netherlands,0,2,True,Group,Group Stage,FT90,False,Netherlands,Group A
WorldCup,2022,2022-11-21,United States,Wales,1,1,True,Group,Group Stage,FT90,False,,Group B
WorldCup,2022,2022-11-22,Argentina,Saudi Arabia,1,2,True,Group,Group Stage,FT90,False,Saudi Arabia,Group C
WorldCup,2022,2022-11-22,Denmark,Tunisia,0,0,True,Group,Group Stage,FT90,False,,Group D
WorldCup,2022,2022-11-22,Mexico,Poland,0,0,True,Group,Group Stage,FT90,False,,Group C
WorldCup,2022,2022-11-22,France,Australia,4,1,True,Group,Group Stage,FT90,False,France,Group D
WorldCup,2022,2022-11-23,Morocco,Croatia,0,0,True,Group,Group Stage,FT90,False,,Group F
WorldCup,2022,2022-11-23,Germany,Japan,1,2,True,Group,Group Stage,FT90,False,Japan,Group E
WorldCup,2022,2022-11-23,Spain,Costa Rica,7,0,True,Group,Group Stage,FT90,False,Spain,Group E
WorldCup,2022,2022-11-23,Belgium,Canada,1,0,True,Group,Group Stage,FT90,False,Belgium,Group F
WorldCup,2022,2022-11-24,Switzerland,Cameroon,1,0,True,Group,Group Stage,FT90,False,Switzerland,Group G
WorldCup,2022,2022-11-24,Uruguay,South Korea,0,0,True,Group,Group Stage,FT90,False,,Group H
WorldCup,2022,2022-11-24,Portugal,Ghana,3,2,True,Group,Group Stage,FT90,False,Portugal,Group H
WorldCup,2022,2022-11-24,Brazil,Serbia,2,0,True,Group,Group Stage,FT90,False,Brazil,Group G
WorldCup,2022,2022-11-25,Wales,Iran,0,2,True,Group,Group Stage,FT90,False,Iran,Group B
WorldCup,2022,2022-11-25,Qatar,Senegal,1,3,True,Group,Group Stage,FT90,False,Senegal,Group A
WorldCup,2022,2022-11-25,Netherlands,Ecuador,1,1,True,Group,Group Stage,FT90,False,,Group A
WorldCup,2022,2022-11-25,England,United States,0,0,True,Group,Group Stage,FT90,False,,Group B
WorldCup,2022,2022-11-26,Tunisia,Australia,0,1,True,Group,Group Stage,FT90,False,Australia,Group D
WorldCup,2022,2022-11-26,Poland,Saudi Arabia,2,0,True,Group,Group Stage,FT90,False,Poland,Group C
WorldCup,2022,2022-11-26,France,Denmark,2,1,True,Group,Group Stage,FT90,False,France,Group D
WorldCup,2022,2022-11-26,Argentina,Mexico,2,0,True,Group,Group Stage,FT90,False,Argentina,Group C
WorldCup,2022,2022-11-27,Japan,Costa Rica,0,1,True,Group,Group Stage,FT90,False,Costa Rica,Group E
WorldCup,2022,2022-11-27,Belgium,Morocco,0,2,True,Group,Group Stage,FT90,False,Morocco,Group F
