competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site,stage,round,score_basis,decided_by_penalties,winner,notes
WorldCupQualifiers,2026,2023-09-07,Argentina,Ecuador,1,0,False,Qualification,Qualification,full_time,False,Argentina,"Venue: Buenos Aires, Argentina"
WorldCupQualifiers,2026,2023-09-07,Colombia,Venezuela,1,0,False,Qualification,Qualification,full_time,False,Colombia,"Venue: Barranquilla, Colombia"
WorldCupQualifiers,2026,2023-09-07,Paraguay,Peru,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Ciudad del Este, Paraguay"
WorldCupQualifiers,2026,2023-09-08,Brazil,Bolivia,5,1,False,Qualification,Qualification,full_time,False,Brazil,"Venue: Belém, Brazil"
WorldCupQualifiers,2026,2023-09-08,Uruguay,Chile,3,1,False,Qualification,Qualification,full_time,False,Uruguay,"Venue: Montevideo, Uruguay"
WorldCupQualifiers,2026,2023-09-12,Bolivia,Argentina,0,3,False,Qualification,Qualification,full_time,False,Argentina,"Venue: La Paz, Bolivia"
WorldCupQualifiers,2026,2023-09-12,Chile,Colombia,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Santiago, Chile"
WorldCupQualifiers,2026,2023-09-12,Ecuador,Uruguay,2,1,False,Qualification,Qualification,full_time,False,Ecuador,"Venue: Quito, Ecuador"
WorldCupQualifiers,2026,2023-09-12,Peru,Brazil,0,1,False,Qualification,Qualification,full_time,False,Brazil,"Venue: Lima, Peru"
WorldCupQualifiers,2026,2023-09-12,Venezuela,Paraguay,1,0,False,Qualification,Qualification,full_time,False,Venezuela,"Venue: Maturín, Venezuela"
WorldCupQualifiers,2026,2023-10-12,Afghanistan,Mongolia,1,0,True,Qualification,Qualification,full_time,False,Afghanistan,"Venue: Dushanbe, Tajikistan"
WorldCupQualifiers,2026,2023-10-12,Argentina,Paraguay,1,0,False,Qualification,Qualification,full_time,False,Argentina,"Venue: Buenos Aires, Argentina"
WorldCupQualifiers,2026,2023-10-12,Bolivia,Ecuador,1,2,False,Qualification,Qualification,full_time,False,Ecuador,"Venue: La Paz, Bolivia"
WorldCupQualifiers,2026,2023-10-12,Brazil,Venezuela,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Cuiabá, Brazil"
WorldCupQualifiers,2026,2023-10-12,Cambodia,Pakistan,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Phnom Penh, Cambodia"
WorldCupQualifiers,2026,2023-10-12,Chile,Peru,2,0,False,Qualification,Qualification,full_time,False,Chile,"Venue: Santiago, Chile"
WorldCupQualifiers,2026,2023-10-12,Colombia,Uruguay,2,2,False,Qualification,Qualification,full_time,False,,"Venue: Barranquilla, Colombia"
WorldCupQualifiers,2026,2023-10-12,Hong Kong,Bhutan,4,0,False,Qualification,Qualification,full_time,False,Hong Kong,"Venue: Hong Kong, Hong Kong"
WorldCupQualifiers,2026,2023-10-12,Indonesia,Brunei,6,0,False,Qualification,Qualification,full_time,False,Indonesia,"Venue: Jakarta, Indonesia"
WorldCupQualifiers,2026,2023-10-12,Maldives,Bangladesh,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Malé, Maldives"
WorldCupQualifiers,2026,2023-10-12,Myanmar,Macau,5,1,False,Qualification,Qualification,full_time,False,Myanmar,"Venue: Yangon, Myanmar"
WorldCupQualifiers,2026,2023-10-12,Nepal,Laos,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Kathmandu, Nepal"
WorldCupQualifiers,2026,2023-10-12,Singapore,Guam,2,1,False,Qualification,Qualification,full_time,False,Singapore,"Venue: Kallang, Singapore"
WorldCupQualifiers,2026,2023-10-12,Taiwan,Timor-Leste,4,0,False,Qualification,Qualification,full_time,False,Taiwan,"Venue: Kaohsiung, Taiwan"
WorldCupQualifiers,2026,2023-10-12,Yemen,Sri Lanka,3,0,True,Qualification,Qualification,full_time,False,Yemen,"Venue: Abha, Saudi Arabia"
WorldCupQualifiers,2026,2023-10-17,Bangladesh,Maldives,2,1,False,Qualification,Qualification,full_time,False,Bangladesh,"Venue: Dhaka, Bangladesh"
WorldCupQualifiers,2026,2023-10-17,Bhutan,Hong Kong,2,0,False,Qualification,Qualification,full_time,False,Bhutan,"Venue: Thimphu, Bhutan"
WorldCupQualifiers,2026,2023-10-17,Brunei,Indonesia,0,6,False,Qualification,Qualification,full_time,False,Indonesia,"Venue: Bandar Seri Begawan, Brunei"
WorldCupQualifiers,2026,2023-10-17,Ecuador,Colombia,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Quito, Ecuador"
WorldCupQualifiers,2026,2023-10-17,Guam,Singapore,0,1,False,Qualification,Qualification,full_time,False,Singapore,"Venue: Dededo, Guam"
WorldCupQualifiers,2026,2023-10-17,Laos,Nepal,0,1,False,Qualification,Qualification,full_time,False,Nepal,"Venue: Vientiane, Laos"
WorldCupQualifiers,2026,2023-10-17,Macau,Myanmar,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Taipa, Macau"
WorldCupQualifiers,2026,2023-10-17,Mongolia,Afghanistan,0,1,False,Qualification,Qualification,full_time,False,Afghanistan,"Venue: Ulaanbaatar, Mongolia"
WorldCupQualifiers,2026,2023-10-17,Pakistan,Cambodia,1,0,False,Qualification,Qualification,full_time,False,Pakistan,"Venue: Islamabad, Pakistan"
WorldCupQualifiers,2026,2023-10-17,Paraguay,Bolivia,1,0,False,Qualification,Qualification,full_time,False,Paraguay,"Venue: Asunción, Paraguay"
WorldCupQualifiers,2026,2023-10-17,Peru,Argentina,0,2,False,Qualification,Qualification,full_time,False,Argentina,"Venue: Lima, Peru"
WorldCupQualifiers,2026,2023-10-17,Sri Lanka,Yemen,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Colombo, Sri Lanka"
WorldCupQualifiers,2026,2023-10-17,Taiwan,Timor-Leste,3,0,False,Qualification,Qualification,full_time,False,Taiwan,"Venue: Kaohsiung, Taiwan"
WorldCupQualifiers,2026,2023-10-17,Uruguay,Brazil,2,0,False,Qualification,Qualification,full_time,False,Uruguay,"Venue: Montevideo, Uruguay"
WorldCupQualifiers,2026,2023-10-17,Venezuela,Chile,3,0,False,Qualification,Qualification,full_time,False,Venezuela,"Venue: Maturín, Venezuela"
WorldCupQualifiers,2026,2023-11-15,DR Congo,Mauritania,2,0,False,Qualification,Qualification,full_time,False,DR Congo,"Venue: Kinshasa, DR Congo"
WorldCupQualifiers,2026,2023-11-15,Equatorial Guinea,Namibia,0,3,False,Qualification,Qualification,full_time,False,Namibia,"Venue: Malabo, Equatorial Guinea"
WorldCupQualifiers,2026,2023-11-15,Ethiopia,Sierra Leone,0,0,True,Qualification,Qualification,full_time,False,,"Venue: El Jadida, Morocco"
WorldCupQualifiers,2026,2023-11-15,Rwanda,Zimbabwe,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Butare, Rwanda"
WorldCupQualifiers,2026,2023-11-16,Algeria,Somalia,3,1,False,Qualification,Qualification,full_time,False,Algeria,"Venue: Algiers, Algeria"
WorldCupQualifiers,2026,2023-11-16,Argentina,Uruguay,0,2,False,Qualification,Qualification,full_time,False,Uruguay,"Venue: Buenos Aires, Argentina"
WorldCupQualifiers,2026,2023-11-16,Australia,Bangladesh,7,0,False,Qualification,Qualification,full_time,False,Australia,"Venue: Melbourne, Australia"
WorldCupQualifiers,2026,2023-11-16,Bolivia,Peru,2,0,False,Qualification,Qualification,full_time,False,Bolivia,"Venue: La Paz, Bolivia"
WorldCupQualifiers,2026,2023-11-16,Botswana,Mozambique,2,3,False,Qualification,Qualification,full_time,False,Mozambique,"Venue: Francistown, Botswana"
WorldCupQualifiers,2026,2023-11-16,Burundi,Gambia,3,2,True,Qualification,Qualification,full_time,False,Burundi,"Venue: Dar es Salaam, Tanzania"
WorldCupQualifiers,2026,2023-11-16,Cabo Verde,Angola,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Praia, Cape Verde"
WorldCupQualifiers,2026,2023-11-16,Chile,Paraguay,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Santiago, Chile"
WorldCupQualifiers,2026,2023-11-16,Colombia,Brazil,2,1,False,Qualification,Qualification,full_time,False,Colombia,"Venue: Barranquilla, Colombia"
WorldCupQualifiers,2026,2023-11-16,Egypt,Djibouti,6,0,False,Qualification,Qualification,full_time,False,Egypt,"Venue: Cairo, Egypt"
WorldCupQualifiers,2026,2023-11-16,Gabon,Kenya,2,1,False,Qualification,Qualification,full_time,False,Gabon,"Venue: Franceville, Gabon"
WorldCupQualifiers,2026,2023-11-16,Iran,Hong Kong,4,0,False,Qualification,Qualification,full_time,False,Iran,"Venue: Tehran, Iran"
WorldCupQualifiers,2026,2023-11-16,Iraq,Indonesia,5,1,False,Qualification,Qualification,full_time,False,Iraq,"Venue: Basra, Iraq"
WorldCupQualifiers,2026,2023-11-16,Japan,Myanmar,5,0,False,Qualification,Qualification,full_time,False,Japan,"Venue: Suita, Japan"
WorldCupQualifiers,2026,2023-11-16,Kuwait,India,0,1,False,Qualification,Qualification,full_time,False,India,"Venue: Kuwait City, Kuwait"
WorldCupQualifiers,2026,2023-11-16,Lebanon,Palestine,0,0,True,Qualification,Qualification,full_time,False,,"Venue: Sharjah, United Arab Emirates"
WorldCupQualifiers,2026,2023-11-16,Malaysia,Kyrgyzstan,4,3,False,Qualification,Qualification,full_time,False,Malaysia,"Venue: Kuala Lumpur, Malaysia"
WorldCupQualifiers,2026,2023-11-16,Nigeria,Lesotho,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Uyo, Nigeria"
WorldCupQualifiers,2026,2023-11-16,Oman,Taiwan,3,0,False,Qualification,Qualification,full_time,False,Oman,"Venue: Muscat, Oman"
WorldCupQualifiers,2026,2023-11-16,Philippines,Vietnam,0,2,False,Qualification,Qualification,full_time,False,Vietnam,"Venue: Manila, Philippines"
WorldCupQualifiers,2026,2023-11-16,Qatar,Afghanistan,8,1,False,Qualification,Qualification,full_time,False,Qatar,"Venue: Al Rayyan, Qatar"
WorldCupQualifiers,2026,2023-11-16,Saudi Arabia,Pakistan,4,0,False,Qualification,Qualification,full_time,False,Saudi Arabia,"Venue: Al Hofuf, Saudi Arabia"
WorldCupQualifiers,2026,2023-11-16,South Korea,Singapore,5,0,False,Qualification,Qualification,full_time,False,South Korea,"Venue: Seoul, South Korea"
WorldCupQualifiers,2026,2023-11-16,Sudan,Togo,1,1,True,Qualification,Qualification,full_time,False,,"Venue: Benghazi, Libya"
WorldCupQualifiers,2026,2023-11-16,Syria,North Korea,1,0,True,Qualification,Qualification,full_time,False,Syria,"Venue: Jeddah, Saudi Arabia"
WorldCupQualifiers,2026,2023-11-16,Tajikistan,Jordan,1,1,False,Qualification,Qualification,full_time,False,,"Venue: Dushanbe, Tajikistan"
WorldCupQualifiers,2026,2023-11-16,Thailand,China PR,1,2,False,Qualification,Qualification,full_time,False,China PR,"Venue: Bangkok, Thailand"
WorldCupQualifiers,2026,2023-11-16,Turkmenistan,Uzbekistan,1,3,False,Qualification,Qualification,full_time,False,Uzbekistan,"Venue: Ashgabat, Turkmenistan"
WorldCupQualifiers,2026,2023-11-16,United Arab Emirates,Nepal,4,0,False,Qualification,Qualification,full_time,False,United Arab Emirates,"Venue: Dubai, United Arab Emirates"
WorldCupQualifiers,2026,2023-11-16,Venezuela,Ecuador,0,0,False,Qualification,Qualification,full_time,False,,"Venue: Maturín, Venezuela"
WorldCupQualifiers,2026,2023-11-16,Yemen,Bahrain,0,2,True,Qualification,Qualification,full_time,False,Bahrain,"Venue: Abha, Saudi Arabia"
WorldCupQualifiers,2026,2023-11-17,Burkina Faso,Guinea-Bissau,1,1,True,Qualification,Qualification,full_time,False,,"Venue: Marrakech, Morocco"
WorldCupQualifiers,2026,2023-11-17,Cameroon,Mauritius,3,0,False,Qualification,Qualification,full_time,False,Cameroon,"Venue: Douala, Cameroon"
WorldCupQualifiers,2026,2023-11-17,Comoros,Central African Republic,4,2,False,Qualification,Qualification,full_time,False,Comoros,"Venue: Moroni, Comoros"
WorldCupQualifiers,2026,2023-11-17,Eswatini,Libya,0,1,True,Qualification,Qualification,full_time,False,Libya,"Venue: Mbombela, South Africa"
WorldCupQualifiers,2026,2023-11-17,Ghana,Madagascar,1,0,False,Qualification,Qualification,full_time,False,Ghana,"Venue: Kumasi, Ghana"
WorldCupQualifiers,2026,2023-11-17,Guinea,Uganda,2,1,True,Qualification,Qualification,full_time,False,Guinea,"Venue: Berkane, Morocco"
WorldCupQualifiers,2026,2023-11-17,Ivory Coast,Seychelles,9,0,False,Qualification,Qualification,full_time,False,Ivory Coast,"Venue: Abidjan, Ivory Coast"
WorldCupQualifiers,2026,2023-11-17,Liberia,Malawi,0,1,False,Qualification,Qualification,full_time,False,Malawi,"Venue: Monrovia, Liberia"
WorldCupQualifiers,2026,2023-11-17,Mali,Chad,3,1,False,Qualification,Qualification,full_time,False,Mali,"Venue: Bamako, Mali"
WorldCupQualifiers,2026,2023-11-17,Tunisia,São Tomé and Príncipe,4,0,False,Qualification,Qualification,full_time,False,Tunisia,"Venue: Radès, Tunisia"
WorldCupQualifiers,2026,2023-11-17,Zambia,Congo,4,2,False,Qualification,Qualification,full_time,False,Zambia,"Venue: Ndola, Zambia"
WorldCupQualifiers,2026,2023-11-18,Niger,Tanzania,0,1,True,Qualification,Qualification,full_time,False,Tanzania,"Venue: Marrakech, Morocco"
WorldCupQualifiers,2026,2023-11-18,Senegal,South Sudan,4,0,False,Qualification,Qualification,full_time,False,Senegal,"Venue: Diamniadio, Senegal"
WorldCupQualifiers,2026,2023-11-18,South Africa,Benin,2,1,False,Qualification,Qualification,full_time,False,South Africa,"Venue: Durban, South Africa"
WorldCupQualifiers,2026,2023-11-19,Burundi,Gabon,1,2,True,Qualification,Qualification,full_time,False,Gabon,"Venue: Dar es Salaam, Tanzania"
WorldCupQualifiers,2026,2023-11-19,Mozambique,Algeria,0,2,False,Qualification,Qualification,full_time,False,Algeria,"Venue: Maputo, Mozambique"
WorldCupQualifiers,2026,2023-11-19,Sierra Leone,Egypt,0,2,True,Qualification,Qualification,full_time,False,Egypt,"Venue: Monrovia, Liberia"
WorldCupQualifiers,2026,2023-11-19,Sudan,DR Congo,1,0,True,Qualification,Qualification,full_time,False,Sudan,"Venue: Benghazi, Libya"
WorldCupQualifiers,2026,2023-11-19,Zimbabwe,Nigeria,1,1,True,Qualification,Qualification,full_time,False,,"Venue: Butare, Rwanda"
WorldCupQualifiers,2026,2023-11-20,Chad,Madagascar,0,3,True,Qualification,Qualification,full_time,False,Madagascar,"Venue: Oujda, Morocco"
