competition,season,date,home_team,away_team,home_goals,away_goals,neutral_site
WorldCup,2026,2026-06-11,Mexico,South Africa,2,0,True
WorldCup,2026,2026-06-12,South Korea,Czechia,2,1,True
WorldCup,2026,2026-06-12,Canada,Bosnia and Herzegovina,1,1,True
WorldCup,2026,2026-06-13,United States,Paraguay,4,1,True
WorldCup,2026,2026-06-13,Qatar,Switzerland,1,1,True
WorldCup,2026,2026-06-13,Brazil,Morocco,1,1,True
WorldCup,2026,2026-06-14,Haiti,Scotland,0,1,True
WorldCup,2026,2026-06-14,Australia,Turkey,2,0,True
WorldCup,2026,2026-06-14,Germany,Curaçao,7,1,True
WorldCup,2026,2026-06-14,Netherlands,Japan,2,2,True
WorldCup,2026,2026-06-15,Ivory Coast,Ecuador,1,0,True
WorldCup,2026,2026-06-15,Sweden,Tunisia,5,1,True
WorldCup,2026,2026-06-15,Spain,Cabo Verde,0,0,True
WorldCup,2026,2026-06-15,Egypt,Belgium,1,1,True
WorldCup,2026,2026-06-15,Saudi Arabia,Uruguay,1,1,True
WorldCup,2026,2026-06-16,Iran,New Zealand,2,2,True
WorldCup,2026,2026-06-16,France,Senegal,3,1,True
WorldCup,2026,2026-06-16,Iraq,Norway,1,4,True
WorldCup,2026,2026-06-17,Argentina,Algeria,3,0,True
WorldCup,2026,2026-06-17,Austria,Jordan,3,1,True
WorldCup,2026,2026-06-17,Portugal,DR Congo,1,1,True
WorldCup,2026,2026-06-17,England,Croatia,4,2,True
WorldCup,2026,2026-06-17,Ghana,Panama,1,0,True
WorldCup,2026,2026-06-17,Colombia,Uzbekistan,3,1,True
WorldCup,2026,2026-06-18,Czechia,South Africa,1,1,True
WorldCup,2026,2026-06-18,Switzerland,Bosnia and Herzegovina,4,1,True
WorldCup,2026,2026-06-18,Canada,Qatar,6,0,True
WorldCup,2026,2026-06-18,Mexico,South Korea,1,0,True
WorldCup,2026,2026-06-19,United States,Australia,2,0,True
WorldCup,2026,2026-06-19,Scotland,Morocco,0,1,True
WorldCup,2026,2026-06-19,Brazil,Haiti,3,0,True
WorldCup,2026,2026-06-19,Turkey,Paraguay,0,1,True
WorldCup,2026,2026-06-20,Netherlands,Sweden,5,1,True
WorldCup,2026,2026-06-20,Germany,Ivory Coast,2,1,True
WorldCup,2026,2026-06-20,Ecuador,Curaçao,0,0,True
WorldCup,2026,2026-06-20,Tunisia,Japan,0,4,True
WorldCup,2026,2026-06-21,Spain,Saudi Arabia,4,0,True
WorldCup,2026,2026-06-21,Belgium,Iran,0,0,True
WorldCup,2026,2026-06-21,Uruguay,Cabo Verde,2,2,True
WorldCup,2026,2026-06-21,New Zealand,Egypt,1,3,True
WorldCup,2026,2026-06-22,Argentina,Austria,2,0,True
WorldCup,2026,2026-06-22,France,Iraq,3,0,True
WorldCup,2026,2026-06-22,Norway,Senegal,3,2,True
WorldCup,2026,2026-06-22,Jordan,Algeria,1,2,True
WorldCup,2026,2026-06-23,Portugal,Uzbekistan,5,0,True
WorldCup,2026,2026-06-23,England,Ghana,0,0,True
WorldCup,2026,2026-06-23,Croatia,Panama,1,0,True
WorldCup,2026,2026-06-23,Colombia,DR Congo,1,0,True
WorldCup,2026,2026-06-24,Bosnia and Herzegovina,Qatar,3,1,True
WorldCup,2026,2026-06-24,Switzerland,Canada,2,1,True
WorldCup,2026,2026-06-24,Morocco,Haiti,4,2,True
WorldCup,2026,2026-06-24,Scotland,Brazil,0,3,True
WorldCup,2026,2026-06-25,South Africa,South Korea,1,0,True
WorldCup,2026,2026-06-25,Czechia,Mexico,0,3,True
WorldCup,2026,2026-06-25,Curaçao,Ivory Coast,0,2,True
WorldCup,2026,2026-06-25,Ecuador,Germany,2,1,True
WorldCup,2026,2026-06-25,Japan,Sweden,1,1,True
WorldCup,2026,2026-06-25,Tunisia,Netherlands,1,3,True
WorldCup,2026,2026-06-25,Turkey,United States,3,2,True
WorldCup,2026,2026-06-25,Paraguay,Australia,0,0,True
WorldCup,2026,2026-06-26,Norway,France,1,4,True
WorldCup,2026,2026-06-26,Senegal,Iraq,5,0,True
WorldCup,2026,2026-06-26,Cabo Verde,Saudi Arabia,0,0,True
WorldCup,2026,2026-06-26,Uruguay,Spain,0,1,True
WorldCup,2026,2026-06-26,New Zealand,Belgium,1,5,True
WorldCup,2026,2026-06-26,Egypt,Iran,1,1,True
WorldCup,2026,2026-06-27,Panama,England,0,2,True
WorldCup,2026,2026-06-27,Croatia,Ghana,2,1,True
WorldCup,2026,2026-06-27,Colombia,Portugal,0,0,True
WorldCup,2026,2026-06-27,DR Congo,Uzbekistan,3,1,True
WorldCup,2026,2026-06-27,Algeria,Austria,3,3,True
WorldCup,2026,2026-06-27,Jordan,Argentina,1,3,True
WorldCup,2026,2026-06-28,South Africa,Canada,0,1,True
WorldCup,2026,2026-06-29,Brazil,Japan,2,1,True
WorldCup,2026,2026-06-29,Germany,Paraguay,1,1,True
WorldCup,2026,2026-06-29,Netherlands,Morocco,1,1,True
WorldCup,2026,2026-06-30,Ivory Coast,Norway,1,2,True
WorldCup,2026,2026-06-30,France,Sweden,3,0,True
WorldCup,2026,2026-06-30,Mexico,Ecuador,2,0,True
